Name,OtherName,RAJ2000,DEJ2000,RA1,DE1
"SMP001","N182",69.64491666666666,-70.61202777777777,69.74824999999998,-70.70863888888888
"SMP002"," ",70.23612499999999,-67.80044444444444,70.23904166666665,-67.8946111111111
"SMP003","N001",70.60037499999999,-66.21716666666666,70.55683333333333,-66.30977777777777
"SMP004"," ",70.84137499999999,-71.50227777777776,70.98929166666666,-71.59333333333332
"SMP005","S1",72.03612499999998,-67.43508333333332,72.03420833333332,-67.52099999999999
"SMP006","N184",71.91337499999999,-72.47213888888888,72.11337499999999,-72.55813888888888
"SMP007","N077F",72.12366666666665,-69.13683333333333,72.17991666666666,-69.22219444444444
"SMP008","N078",72.55499999999999,-69.5657222222222,72.62899999999999,-69.64905555555555
"SMP009"," ",72.60274999999999,-68.2211111111111,72.62849999999999,-68.30433333333332
"SMP010"," ",72.78729166666666,-68.81816666666666,72.83449999999999,-68.9004722222222
"SMP011"," ",72.90787499999999,-67.0878611111111,72.89808333333332,-67.16975
"SMP012"," ",73.00616666666666,-68.65469444444443,73.04833333333332,-68.73599999999999
"SMP013","WS04",75.00062499999999,-70.46124999999999,75.11949999999999,-70.53305555555555
"SMP014","LM2-04",75.08675,-70.98080555555555,75.22845833333332,-71.05213888888888
"SMP015","N186A",75.21970833333333,-70.22772222222221,75.32958333333332,-70.29852777777776
"SMP016","LM1-11",75.50824999999999,-69.81488888888887,75.602375,-69.8843611111111
"SMP017","N096",75.71816666666666,-69.34813888888888,75.79479166666665,-69.41666666666666
"SMP018","L95",75.92770833333333,-70.11299999999999,76.03516666666665,-70.1804722222222
"SMP019","N188",75.92187499999999,-70.23138888888887,76.03420833333332,-70.29886111111111
"SMP020"," ",76.16708333333332,-69.36099999999999,76.24558333333333,-69.42738888888888
"SMP021","N097",76.21724999999999,-68.65238888888888,76.26970833333333,-68.71863888888888
"SMP022"," ",76.46133333333333,-69.04197222222221,76.52870833333333,-69.10702777777777
"SMP023","N024",76.53920833333332,-67.75713888888887,76.56174999999999,-67.82191666666665
"SMP024"," ",76.57612499999999,-68.99191666666665,76.64195833333332,-69.05641666666666
"SMP025","L124",76.59958333333333,-69.0553611111111,76.66783333333332,-69.11975
"SMP027"," ",76.97891666666666,-66.96258333333333,76.97712499999999,-67.0253611111111
"SMP028"," ",76.99045833333332,-68.86283333333333,77.05270833333333,-68.92538888888888
"SMP029","N102",77.01470833333332,-68.67119444444444,77.07004166666665,-68.73363888888888
"SMP030","LM2-08",77.29408333333332,-66.89394444444443,77.29095833333332,-66.95519444444443
"SMP031","N025",77.33399999999999,-67.79008333333333,77.35970833333332,-67.8511111111111
"SMP032","N192",77.40512499999998,-70.81891666666665,77.547125,-70.87930555555555
"SMP033","N104A",77.53949999999999,-68.49833333333332,77.59008333333333,-68.55830555555555
"SMP034","N106",77.57149999999999,-68.80624999999999,77.63324999999999,-68.86605555555555
"SMP035","WS12",77.70820833333332,-65.49177777777777,77.66504166666665,-65.55119444444443
"SMP036","N107",77.66533333333332,-68.6011111111111,77.71991666666666,-68.66047222222221
"SMP037","N028",77.76204166666666,-67.79966666666665,77.78912499999998,-67.85866666666665
"SMP038","N110",77.84908333333333,-70.0323611111111,77.95891666666665,-70.09072222222221
"SMP039","?LM2-11",77.92558333333332,-68.58324999999999,77.98016666666666,-68.64138888888888
"SMP040","WS16",78.06566666666666,-66.38224999999998,78.04883333333332,-66.43988888888887
"SMP041","LM1-26",78.363875,-70.55963888888888,78.49725,-70.6155
"SMP042"," ",78.94504166666665,-68.70658333333333,79.00654166666665,-68.7598611111111
"SMP043"," ",79.26195833333333,-69.12122222222222,79.33954166666666,-69.17294444444444
"SMP044","LM2-16",79.62474999999999,-67.28216666666665,79.63908333333332,-67.33230555555555
"SMP045","WS17",79.83637499999999,-66.96874999999999,79.84112499999999,-67.01788888888888
"SMP046"," ",79.87374999999999,-68.85219444444444,79.94262499999999,-68.901
"SMP047","N122",79.97795833333332,-69.51791666666665,80.072375,-69.56616666666666
"SMP048","N123",80.04024999999999,-69.89413888888888,80.14983333333332,-69.94205555555554
"SMP049","N196",80.03899999999999,-70.42724999999999,80.17079166666666,-70.4751111111111
"SMP050","N039",80.21554166666665,-67.09513888888888,80.225,-67.14247222222221
"SMP051","N125",80.21895833333332,-70.15972222222221,80.33987499999999,-70.20674999999999
"SMP052","N124",80.34929166666666,-68.59288888888888,80.40970833333333,-68.63944444444444
"SMP053","N042",80.38704166666666,-67.0011111111111,80.393875,-67.0476111111111
"SMP054","J35",80.42887499999999,-68.65688888888889,80.49174999999998,-68.70305555555555
"SMP055","N199",80.67066666666666,-71.31852777777777,80.84383333333332,-71.36325
"SMP056","N136",80.87983333333332,-69.06788888888887,80.95875,-69.1118611111111
"SMP057"," ",80.95258333333332,-69.20599999999999,81.03691666666666,-69.24958333333332
"SMP058","N013",81.08691666666665,-70.08347222222221,81.20645833333332,-70.12633333333332
"SMP059","LM2-25",81.11395833333333,-70.37324999999998,81.24574999999999,-70.41594444444443
"SMP060"," ",81.06537499999999,-70.89897222222221,81.22012499999998,-70.94188888888888
"SMP061","N203",81.15008333333333,-73.6776111111111,81.45054166666665,-73.71974999999999
"SMP062","N201",81.22933333333332,-71.54872222222221,81.41462499999999,-71.59074999999999
"SMP063","N141",81.35908333333332,-68.9316111111111,81.43383333333333,-68.97327777777777
"SMP064","N145",81.89916666666666,-69.14897222222221,81.98304166666665,-69.18802777777776
"SMP065"," ",81.93262499999999,-71.43222222222221,82.11370833333332,-71.47088888888888
"SMP066","N052",82.17145833333332,-67.5608611111111,82.19937499999999,-67.59872222222221
"SMP067","N053",82.31529166666665,-67.54630555555555,82.34295833333333,-67.58349999999999
"SMP068"," ",82.26187499999999,-70.32355555555554,82.39366666666666,-70.36075
"SMP069","N054",82.34683333333332,-67.22274999999999,82.36395833333331,-67.25980555555554
"SMP070","LM2-28",82.36099999999999,-72.64516666666665,82.60462499999998,-72.6816111111111
"SMP071","N207",82.63874999999999,-70.74377777777777,82.78945833333333,-70.7791111111111
"SMP072"," ",82.69095833333333,-70.83772222222221,82.84595833333333,-70.87280555555554
"SMP073","N208",82.84154166666666,-70.67913888888889,82.98970833333333,-70.7135
"SMP074","N209",83.37433333333333,-71.87455555555555,83.57954166666666,-71.90619444444444
"SMP075","N151",83.44583333333333,-68.61227777777776,83.51208333333332,-68.64391666666666
"SMP076","N060",83.48404166666666,-67.88563888888888,83.52470833333332,-67.91716666666666
"SMP077","N152",83.52616666666665,-69.43825,83.62370833333333,-69.46941666666666
